,start station id,start station latitude,start station longitude,end station latitude,end station longitude,gender,borough,ageintervals,tripdurationintervals,timeminutes,degrees
50,116,40.74177603,-74.00149746,40.76669671,-73.99061728,1,Manhattan,18.0,7.0,1.0,3.0
51,326,40.72953837,-73.98426726,40.726280700000004,-73.98978041,2,Manhattan,17.0,2.0,1.0,30.0
52,462,40.74691959,-74.00451887,40.73049393,-73.99572140000002,2,Manhattan,11.0,9.0,1.0,19.0
53,511,40.72938685,-73.97772429,40.73047309,-73.98672378,1,Manhattan,16.0,2.0,1.0,35.0
54,320,40.717571,-74.005549,40.72740794,-73.98142006,1,Manhattan,30.0,8.0,1.0,8.0
55,146,40.71625008,-74.0091059,40.75640548,-73.9900262,1,Manhattan,19.0,9.0,1.0,3.0
56,394,40.72521311,-73.97768752,40.73028666,-73.9907647,1,Manhattan,24.0,5.0,1.0,36.0
57,293,40.73028666,-73.9907647,40.73038599,-74.00214988,1,Manhattan,11.0,2.0,1.0,34.0
58,512,40.750072700000004,-73.99839279,40.76227205,-73.98788205,1,Manhattan,18.0,4.0,1.0,5.0
59,521,40.75044999,-73.99481051,40.74345335,-74.00004031,1,Manhattan,17.0,2.0,1.0,27.0
60,540,40.74147286,-73.98320928,40.74290902,-73.97706058,1,Manhattan,13.0,2.0,1.0,10.0
61,2002,40.716887,-73.96319799999998,40.69573398,-73.97129668,1,Brooklyn,17.0,5.0,1.0,25.0
62,268,40.71910537,-73.99973337,40.71602118,-73.99974372,1,Manhattan,16.0,1.0,1.0,23.0
63,497,40.73704984,-73.99009296,40.74444921,-73.98303529,1,Manhattan,35.0,4.0,1.0,5.0
64,493,40.7568001,-73.98291153,40.75019995,-73.99093085,1,Manhattan,29.0,2.0,1.0,29.0
65,458,40.751396,-74.00522600000002,40.76584941,-73.98690506,1,Manhattan,14.0,9.0,1.0,6.0
66,351,40.70530954,-74.00612572,40.71622644,-73.98261206,2,Manhattan,24.0,14.0,1.0,8.0
